"Test","p_value"
"Factor A",0.6729
"Factor A",0.2275
"Factor A",0.7897
"Factor A",0.4684
"Factor A",0.2085
"Factor A",0.5443
"Factor A",0.8743
"Factor A",0.9942
"Factor A",0.0731000000000001
"Factor A",0.2546
"Factor A",0.1855
"Factor A",0.8552
"Factor A",0.8062
"Factor A",0.0745
"Factor A",0.0233
"Factor A",0.9008
"Factor A",0.9827
"Factor A",0.6781
"Factor A",0.3006
"Factor A",0.9596
"Factor A",0.9339
"Factor A",0.1635
"Factor A",0.2637
"Factor A",0.8816
"Factor A",0.1811
"Factor A",0.0109
"Factor A",0.0375
"Factor A",0.4924
"Factor A",0.3055
"Factor A",0.7988
"Factor A",0.7613
"Factor A",0.6277
"Factor A",0.4342
"Factor A",0.4204
"Factor A",0.5154
"Factor A",0.0295
"Factor A",0.894
"Factor A",0.949
"Factor A",0.8082
"Factor A",0.8939
"Factor A",0.1843
"Factor A",0.578
"Factor A",0.8192
"Factor A",0.2926
"Factor A",0.4693
"Factor A",0.3855
"Factor A",0.284
"Factor A",0.9617
"Factor A",0.6935
"Factor A",0.4961
"Factor A",0.5828
"Factor A",0.9077
"Factor A",0.0214
"Factor A",0.5238
"Factor A",0.5652
"Factor A",0.0251
"Factor A",0.2072
"Factor A",0.2542
"Factor A",0.9862
"Factor A",0.696
"Factor A",0.9799
"Factor A",0.00539999999999996
"Factor A",0.925
"Factor A",0.7185
"Factor A",0.6109
"Factor A",0.4554
"Factor A",0.0251
"Factor A",0.7102
"Factor A",0.1749
"Factor A",0.8356
"Factor A",0.71
"Factor A",0.3019
"Factor A",0.7374
"Factor A",0.1263
"Factor A",0.1407
"Factor A",0.9887
"Factor A",0.4026
"Factor A",0.3982
"Factor A",0.6029
"Factor A",0.6531
"Factor A",0.9947
"Factor A",0.4752
"Factor A",0.2339
"Factor A",0.8958
"Factor A",0.0489000000000001
"Factor A",0.0556
"Factor A",0.754
"Factor A",0.2823
"Factor A",0.273
"Factor A",0.902
"Factor A",0.0435
"Factor A",0.2878
"Factor A",0.9599
"Factor A",0.4129
"Factor A",0.14
"Factor A",0.1112
"Factor A",0.5846
"Factor A",0.2715
"Factor A",0.5347
"Factor A",0.4406
"Factor A",0.8166
"Factor A",0.6132
"Factor A",0.9199
"Factor A",0.4095
"Factor A",0.7564
"Factor A",0.6289
"Factor A",0.5168
"Factor A",0.3261
"Factor A",0.6232
"Factor A",0.5884
"Factor A",0.7696
"Factor A",0.8177
"Factor A",0.4344
"Factor A",0.5306
"Factor A",0.6423
"Factor A",0.5608
"Factor A",0.392
"Factor A",0.5931
"Factor A",0.761
"Factor A",0.7442
"Factor A",0.5407
"Factor A",0.9306
"Factor A",0.1186
"Factor A",0.4369
"Factor A",0.4571
"Factor A",0.0601
"Factor A",0.2621
"Factor A",0.2601
"Factor A",0.4833
"Factor A",0.00570000000000004
"Factor A",0.3644
"Factor A",0.00819999999999999
"Factor A",0.4476
"Factor A",0.3033
"Factor A",0.9692
"Factor A",0.9765
"Factor A",0.9584
"Factor A",0.604
"Factor A",0.3017
"Factor A",0.0793
"Factor A",0.1354
"Factor A",0.2542
"Factor A",0.1289
"Factor A",0.4452
"Factor A",0.9879
"Factor A",0.5081
"Factor A",0.9296
"Factor A",0.3735
"Factor A",0.8019
"Factor A",0.385
"Factor A",0.9033
"Factor A",0.0641
"Factor A",0.8473
"Factor A",0.251
"Factor A",0.098
"Factor A",0.5967
"Factor A",0.565
"Factor A",0.5819
"Factor A",0.7867
"Factor A",0.6986
"Factor A",0.4499
"Factor A",0.2995
"Factor A",0.7738
"Factor A",0.4108
"Factor A",0.6654
"Factor A",0.1043
"Factor A",0.5248
"Factor A",0.7759
"Factor A",0.4483
"Factor A",0.8653
"Factor A",0.446
"Factor A",0.9097
"Factor A",0.1239
"Factor A",0.5644
"Factor A",0.8145
"Factor A",0.9083
"Factor A",0.7783
"Factor A",0.7828
"Factor A",0.5946
"Factor A",0.5763
"Factor A",0.7756
"Factor A",0.5697
"Factor A",0.6499
"Factor A",0.7886
"Factor A",0.8126
"Factor A",0.7011
"Factor A",0.8511
"Factor A",0.4475
"Factor A",0.3883
"Factor A",0.4048
"Factor A",0.319
"Factor A",0.272
"Factor A",0.0975
"Factor A",0.0532
"Factor A",0.5609
"Factor A",0.596
"Factor A",0.0894
"Factor A",0.4277
"Factor A",0.8583
"Factor A",0.4861
"Factor A",0.6905
"Factor A",0.7291
"Factor A",0.2832
"Factor A",0.9383
"Factor A",0.0229
"Factor A",0.4657
"Factor A",0.9518
"Factor A",0.6128
"Factor A",0.5627
"Factor A",0.276
"Factor A",0.4591
"Factor A",0.2166
"Factor A",0.9442
"Factor A",0.6221
"Factor A",0.5557
"Factor A",0.7577
"Factor A",0.2881
"Factor A",0.9129
"Factor A",0.0493
"Factor A",0.3839
"Factor A",0.0385
"Factor A",0.2842
"Factor A",0.0465
"Factor A",0.6112
"Factor A",0.8435
"Factor A",0.9634
"Factor A",0.8768
"Factor A",0.5902
"Factor A",0.3016
"Factor A",0.9885
"Factor A",0.2538
"Factor A",0.2118
"Factor A",0.1149
"Factor A",0.9502
"Factor A",0.6924
"Factor A",0.5799
"Factor A",0.7314
"Factor A",0.8953
"Factor A",0.4282
"Factor A",0.4431
"Factor A",0.4616
"Factor A",0.6202
"Factor A",0.6536
"Factor A",0.9043
"Factor A",0.8771
"Factor A",0.9294
"Factor A",0.3023
"Factor A",0.1862
"Factor A",0.8453
"Factor A",0.6982
"Factor A",0.3606
"Factor A",0.1606
"Factor A",0.4962
"Factor A",0.7914
"Factor A",0.4713
"Factor A",0.8227
"Factor A",0.7172
"Factor A",0.9792
"Factor A",0.0883
"Factor A",0.4985
"Factor A",0.1469
"Factor A",0.396
"Factor A",0.4327
"Factor A",0.5265
"Factor A",0.1097
"Factor A",0.257
"Factor A",0.8431
"Factor A",0.7194
"Factor A",0.4281
"Factor A",0.1499
"Factor A",0.558
"Factor A",0.8697
"Factor A",0.7724
"Factor A",0.0451
"Factor A",0.5532
"Factor A",0.0665
"Factor A",0.224
"Factor A",0.7125
"Factor A",0.7236
"Factor A",0.7126
"Factor A",0.0911
"Factor A",0.1513
"Factor A",0.0806
"Factor A",0.6332
"Factor A",0.3204
"Factor A",0.1589
"Factor A",0.5337
"Factor A",0.7177
"Factor A",0.1962
"Factor A",0.6057
"Factor A",0.985
"Factor A",0.1455
"Factor A",0.2429
"Factor A",0.1303
"Factor A",0.7944
"Factor A",0.225
"Factor A",0.6851
"Factor A",0.4462
"Factor A",0.0196
"Factor A",0.4496
"Factor A",0.268
"Factor A",0.0296
"Factor A",0.9916
"Factor A",0.5681
"Factor A",0.346
"Factor A",0.9046
"Factor A",0.4525
"Factor A",0.4355
"Factor A",0.759
"Factor A",0.1872
"Factor A",0.7186
"Factor A",0.3306
"Factor A",0.1201
"Factor A",0.5464
"Factor A",0.0511
"Factor A",0.0323
"Factor A",0.0515
"Factor A",0.3588
"Factor A",0.4608
"Factor A",0.6255
"Factor A",0.137
"Factor A",0.8381
"Factor A",0.7481
"Factor A",0.268
"Factor A",0.4128
"Factor A",0.2827
"Factor A",0.4379
"Factor A",0.2077
"Factor A",0.0281
"Factor A",0.2926
"Factor A",0.6086
"Factor A",0.2937
"Factor A",0.7488
"Factor A",0.2653
"Factor A",0.6033
"Factor A",0.8915
"Factor A",0.0269
"Factor A",0.509
"Factor A",0.3336
"Factor A",0.3838
"Factor A",0.9738
"Factor A",0.3825
"Factor A",0.7405
"Factor A",0.5725
"Factor A",0.9672
"Factor A",0.0676
"Factor A",0.2038
"Factor A",0.1909
"Factor A",0.4374
"Factor A",0.3441
"Factor A",0.0721000000000001
"Factor A",0.2727
"Factor A",0.4731
"Factor A",0.8589
"Factor A",0.5171
"Factor A",0.6584
"Factor A",0.667
"Factor A",0.7609
"Factor A",0.6339
"Factor A",0.1214
"Factor A",0.2825
"Factor A",0.6174
"Factor A",0.8284
"Factor A",0.2109
"Factor A",0.3866
"Factor A",0.7847
"Factor A",0.4278
"Factor A",0.1763
"Factor A",0.0311
"Factor A",0.258
"Factor A",0.998
"Factor A",0.565
"Factor A",0.7581
"Factor A",0.437
"Factor A",0.6546
"Factor A",0.4901
"Factor A",0.7097
"Factor A",0.4152
"Factor A",0.8254
"Factor A",0.2005
"Factor A",0.5845
"Factor A",0.4057
"Factor A",0.5803
"Factor A",0.5445
"Factor A",0.0763
"Factor A",0.8616
"Factor A",0.2051
"Factor A",0.6495
"Factor A",0.2527
"Factor A",0.4753
"Factor A",0.9197
"Factor A",0.5042
"Factor A",0.5396
"Factor A",0.8954
"Factor A",0.4434
"Factor A",0.8945
"Factor A",0.8984
"Factor A",0.928
"Factor A",0.1915
"Factor A",0.6152
"Factor A",0.5219
"Factor A",0.0929
"Factor A",0.574
"Factor A",0.3909
"Factor A",0.177
"Factor A",0.1623
"Factor A",0.5988
"Factor A",0.5107
"Factor A",0.691
"Factor A",0.2617
"Factor A",0.3068
"Factor A",0.5966
"Factor A",0.2871
"Factor A",0.4307
"Factor A",0.16
"Factor A",0.6283
"Factor A",0.5296
"Factor A",0.1528
"Factor A",0.3441
"Factor A",0.3389
"Factor A",0.8873
"Factor A",0.6954
"Factor A",0.4601
"Factor A",0.1528
"Factor A",0.2764
"Factor A",0.9934
"Factor A",0.3478
"Factor A",0.992
"Factor A",0.2268
"Factor A",0.4083
"Factor A",0.2871
"Factor A",0.0727
"Factor A",0.973
"Factor A",0.7564
"Factor A",0.5989
"Factor A",0.4227
"Factor A",0.0235
"Factor A",0.2562
"Factor A",0.7497
"Factor A",0.1916
"Factor A",0.411
"Factor A",0.6148
"Factor A",0.178
"Factor A",0.1612
"Factor A",0.9065
"Factor A",0.017
"Factor A",0.1751
"Factor A",0.5414
"Factor A",0.6569
"Factor A",0.4796
"Factor A",0.3263
"Factor A",0.6408
"Factor A",0.5345
"Factor A",0.0665
"Factor A",0.3148
"Factor A",0.271
"Factor A",0.0185
"Factor A",0.2457
"Factor A",0.4364
"Factor A",0.0926
"Factor A",0.00800000000000001
"Factor A",0.8642
"Factor A",0.5921
"Factor A",0.5296
"Factor A",0.8623
"Factor A",0.3522
"Factor A",0.1029
"Factor A",0.4334
"Factor A",0.4852
"Factor A",0.586
"Factor A",0.6148
"Factor A",0.6548
"Factor A",0.4165
"Factor A",0.0427999999999999
"Factor A",0.106
"Factor A",0.9594
"Factor A",0.5568
"Factor A",0.6454
"Factor A",0.3758
"Factor A",0.6302
"Factor A",0.3153
"Factor A",0.2705
"Factor A",0.6677
"Factor A",0.3018
"Factor A",0.1733
"Factor A",0.452
"Factor A",0.5278
"Factor A",0.4331
"Factor A",0.4418
"Factor A",0.5128
"Factor A",0.311
"Factor A",0.5314
"Factor A",0.8362
"Factor A",0.0998
"Factor A",0.8342
"Factor A",0.9392
"Factor A",0.0161
"Factor A",0.3559
"Factor A",0.7284
"Factor A",0.7822
"Factor A",0.9725
"Factor A",0.7908
"Factor A",0.2635
"Factor A",0.6806
"Factor A",0.951
"Factor A",0.5873
"Factor A",0.2282
"Factor A",0.6047
"Factor A",0.573
"Factor A",0.3246
"Factor A",0.1318
"Factor A",0.1987
"Factor A",0.6848
"Factor A",0.7664
"Factor A",0.9869
"Factor A",0.5049
"Factor A",0.2982
"Factor A",0.5564
"Factor A",0.9304
"Factor A",0.3594
"Factor A",0.0365
"Factor A",0.4975
"Factor A",0.235
"Factor A",0.9255
"Factor A",0.3696
"Factor A",0.4066
"Factor A",0.7478
"Factor A",0.9568
"Factor A",0.7558
"Factor A",0.3018
"Factor A",0.7041
"Factor A",0.2823
"Factor A",0.851
"Factor A",0.2408
"Factor A",0.5031
"Factor A",0.15
"Factor A",0.6828
"Factor A",0.3933
"Factor A",0.749
"Factor A",0.1776
"Factor A",0.7762
"Factor A",0.3946
"Factor A",0.8175
"Factor A",0.4026
"Factor A",0.808
"Factor A",0.3001
"Factor A",0.4795
"Factor A",0.17
"Factor A",0.197
"Factor A",0.0492
"Factor A",0.075
"Factor A",0.5209
"Factor A",0.2384
"Factor A",0.6735
"Factor A",0.449
"Factor A",0.7208
"Factor A",0.8213
"Factor A",0.1232
"Factor A",0.7441
"Factor A",0.6458
"Factor A",0.3911
"Factor A",0.6703
"Factor A",0.8256
"Factor A",0.732
"Factor A",0.7652
"Factor A",0.1079
"Factor A",0.9482
"Factor A",0.00639999999999996
"Factor A",0.9298
"Factor A",0.1295
"Factor A",0.5205
"Factor A",0.1616
"Factor A",0.6829
"Factor A",0.0839
"Factor A",0.7319
"Factor A",0.8699
"Factor A",0.6236
"Factor A",0.8308
"Factor A",0.9805
"Factor A",0.5217
"Factor A",0.2041
"Factor A",0.6494
"Factor A",0.7931
"Factor A",0.5293
"Factor A",0.5496
"Factor A",0.3074
"Factor A",0.4663
"Factor A",0.9259
"Factor A",0.4007
"Factor A",0.2023
"Factor A",0.3477
"Factor A",0.4916
"Factor A",0.4734
"Factor A",0.8604
"Factor A",0.1301
"Factor A",0.3476
"Factor A",0.6205
"Factor A",0.2952
"Factor A",0.788
"Factor A",0.332
"Factor A",0.1072
"Factor A",0.0783
"Factor A",0.141
"Factor A",0.5193
"Factor A",0.0181
"Factor A",0.598
"Factor A",0.5994
"Factor A",0.2284
"Factor A",0.7905
"Factor A",0.3993
"Factor A",0.6662
"Factor A",0.3365
"Factor A",0.6713
"Factor A",0.9625
"Factor A",0.3307
"Factor A",0.1948
"Factor A",0.6256
"Factor A",0.2505
"Factor A",0.219
"Factor A",0.471
"Factor A",0.881
"Factor A",0.9783
"Factor A",0.2081
"Factor A",0.5212
"Factor A",0.0904
"Factor A",0.9622
"Factor A",0.3561
"Factor A",0.1698
"Factor A",0.267
"Factor A",0.6972
"Factor A",0.9723
"Factor A",0.4646
"Factor A",0.558
"Factor A",0.039
"Factor A",0.1966
"Factor A",0.4459
"Factor A",0.9466
"Factor A",0.5092
"Factor A",0.1029
"Factor A",0.0676
"Factor A",0.9676
"Factor A",0.1083
"Factor A",0.5505
"Factor A",0.3609
"Factor A",0.5243
"Factor A",0.6809
"Factor A",0.366
"Factor A",0.8517
"Factor A",0.4188
"Factor A",0.9837
"Factor A",0.1291
"Factor A",0.2539
"Factor A",0.1485
"Factor A",0.0407
"Factor A",0.7869
"Factor A",0.2437
"Factor A",0.8541
"Factor A",0.7637
"Factor A",0.7257
"Factor A",0.7399
"Factor A",0.6224
"Factor A",0.00290000000000001
"Factor A",0.6329
"Factor A",0.4848
"Factor A",0.6763
"Factor A",0.7371
"Factor A",0.833
"Factor A",0.9511
"Factor A",0.1902
"Factor A",0.2564
"Factor A",0.9657
"Factor A",0.9316
"Factor A",0.6325
"Factor A",0.1178
"Factor A",0.2019
"Factor A",0.521
"Factor A",0.9203
"Factor A",0.2849
"Factor A",0.1965
"Factor A",0.3606
"Factor A",0.2198
"Factor A",0.4125
"Factor A",0.8009
"Factor A",0.9668
"Factor A",0.2398
"Factor A",0.6476
"Factor A",0.3651
"Factor A",0.4035
"Factor A",0.3595
"Factor A",0.0826
"Factor A",0.8964
"Factor A",0.1256
"Factor A",0.428
"Factor A",0.1175
"Factor A",0.1577
"Factor A",0.1195
"Factor A",0.9324
"Factor A",0.2447
"Factor A",0.6723
"Factor A",0.4697
"Factor A",0.2562
"Factor A",0.406
"Factor A",0.585
"Factor A",0.6582
"Factor A",0.3635
"Factor A",0.9226
"Factor A",0.0817
"Factor A",0.56
"Factor A",0.3457
"Factor A",0.4355
"Factor A",0.6066
"Factor A",0.8839
"Factor A",0.5274
"Factor A",0.9545
"Factor A",0.213
"Factor A",0.4922
"Factor A",0.1371
"Factor A",0.6752
"Factor A",0.7985
"Factor A",0.5179
"Factor A",0.2317
"Factor A",0.4392
"Factor A",0.0168
"Factor A",0.8377
"Factor A",0.2845
"Factor A",0.7732
"Factor A",0.5459
"Factor A",0.2217
"Factor A",0.1307
"Factor A",0.6837
"Factor A",0.9878
"Factor A",0.0691000000000001
"Factor A",0.697
"Factor A",0.7525
"Factor A",0.7106
"Factor A",0.2126
"Factor A",0.3049
"Factor A",0.3013
"Factor A",0.711
"Factor A",0.6711
"Factor A",0.226
"Factor A",0.3088
"Factor A",0.2449
"Factor A",0.8546
"Factor A",0.8047
"Factor A",0.1724
"Factor A",0.0443
"Factor A",0.998
"Factor A",0.3057
"Factor A",0.7461
"Factor A",0.3548
"Factor A",0.685
"Factor A",0.8288
"Factor A",0.9788
"Factor A",0.925
"Factor A",0.5323
"Factor A",0.6403
"Factor A",0.5083
"Factor A",0.3339
"Factor A",0.6491
"Factor A",0.3199
"Factor A",0.7401
"Factor A",0.9385
"Factor A",0.1713
"Factor A",0.1238
"Factor A",0.9587
"Factor A",0.4124
"Factor A",0.5175
"Factor A",0.2904
"Factor A",0.9363
"Factor A",0.1263
"Factor A",0.1261
"Factor A",0.2963
"Factor A",0.5114
"Factor A",0.1231
"Factor A",0.4517
"Factor A",0.8205
"Factor A",0.8427
"Factor A",0.0537
"Factor A",0.4904
"Factor A",0.3564
"Factor A",0.0964
"Factor A",0.2188
"Factor A",0.432
"Factor A",0.2054
"Factor A",0.9391
"Factor A",0.6573
"Factor A",0.1455
"Factor A",0.4248
"Factor A",0.3274
"Factor A",0.4713
"Factor A",0.1585
"Factor A",0.0369
"Factor A",0.3965
"Factor A",0.7328
"Factor A",0.8248
"Factor A",0.3344
"Factor A",0.0681
"Factor A",0.7658
"Factor A",0.4703
"Factor A",0.6007
"Factor A",0.6005
"Factor A",0.3945
"Factor A",0.1312
"Factor A",0.371
"Factor A",0.0524
"Factor A",0.8158
"Factor A",0.1037
"Factor A",0.4396
"Factor A",0.4733
"Factor A",0.7152
"Factor A",0.2691
"Factor A",0.852
"Factor A",0.2077
"Factor A",0.7609
"Factor A",0.4431
"Factor A",0.6914
"Factor A",0.928
"Factor A",0.3298
"Factor A",0.593
"Factor A",0.8451
"Factor A",0.8838
"Factor A",0.8396
"Factor A",0.8731
"Factor A",0.2163
"Factor A",0.6498
"Factor A",0.1129
"Factor A",0.8895
"Factor A",0.4844
"Factor A",0.5273
"Factor A",0.1192
"Factor A",0.6398
"Factor A",0.5119
"Factor A",0.3686
"Factor A",0.9606
"Factor A",0.1254
"Factor A",0.8864
"Factor A",0.4633
"Factor A",0.3929
"Factor A",0.8719
"Factor A",0.3896
"Factor A",0.6133
"Factor A",0.5297
"Factor A",0.454
"Factor A",0.1498
"Factor A",0.2556
"Factor A",0.8239
"Factor A",0.4004
"Factor A",0.7452
"Factor A",0.5718
"Factor A",0.4574
"Factor A",0.6968
"Factor A",0.6304
"Factor A",0.1329
"Factor A",0.9838
"Factor A",0.7015
"Factor A",0.9748
"Factor A",0.577
"Factor A",0.7485
"Factor A",0.1318
"Factor A",0.841
"Factor A",0.4686
"Factor A",0.1337
"Factor A",0.9699
"Factor A",0.7513
"Factor A",0.6614
"Factor A",0.3132
"Factor A",0.2959
"Factor A",0.092
"Factor A",0.2551
"Factor A",0.8419
"Factor A",0.8151
"Factor A",0.229
"Factor A",0.2331
"Factor A",0.0465
"Factor A",0.8019
"Factor A",0.0291
"Factor A",0.7477
"Factor A",0.1764
"Factor A",0.3929
"Factor A",0.525
"Factor A",0.4022
"Factor A",0.8159
"Factor A",0.9298
"Factor A",0.8737
"Factor A",0.0644
"Factor A",0.4139
"Factor A",0.0997
"Factor A",0.4638
"Factor A",0.1659
"Factor A",0.4524
"Factor A",0.9541
"Factor A",0.6186
"Factor A",0.6623
"Factor A",0.2278
"Factor A",0.7121
"Factor A",0.6212
"Factor A",0.1558
"Factor A",0.1239
"Factor A",0.6448
"Factor A",0.2495
"Factor A",0.0323
"Factor A",0.385
"Factor A",0.8089
"Factor A",0.6459
"Factor A",0.4576
"Factor A",0.506
"Factor A",0.7461
"Factor A",0.8615
"Factor A",0.9562
"Factor A",0.5071
"Factor A",0.7262
"Factor A",0.7382
"Factor A",0.5
"Factor A",0.5181
"Factor A",0.2043
"Factor A",0.7411
"Factor A",0.7733
"Factor A",0.9332
"Factor A",0.4355
"Factor A",0.3077
"Factor A",0.6388
"Factor A",0.655
"Factor A",0.5136
"Factor A",0.4613
"Factor A",0.5402
"Factor A",0.5058
"Factor A",0.8519
"Factor A",0.6083
"Factor A",0.8201
"Factor A",0.107
"Factor A",0.1949
"Factor A",0.7621
"Factor A",0.467
"Factor A",0.0562
"Factor A",0.5335
"Factor A",0.8704
"Factor A",0.372
"Factor A",0.6498
"Factor A",0.5361
"Factor A",0.8214
"Factor A",0.1674
"Factor A",0.1892
"Factor A",0.604
"Factor A",0.673
"Factor A",0.4703
"Factor A",0.392
"Factor A",0.5032
"Factor A",0.649
"Factor A",0.1582
"Factor A",0.9714
"Factor A",0.0673
"Factor A",0.954
"Factor A",0.9617
"Factor A",0.9872
"Factor A",0.8005
"Factor A",0.2992
"Factor A",0.6863
"Factor A",0.3973
"Factor A",0.4063
"Factor A",0.6415
"Factor A",0.5914
"Factor A",0.9481
"Factor A",0.2061
"Factor A",0.3844
"Factor A",0.4964
"Factor A",0.129
"Factor A",0.0142
"Factor A",0.75
"Factor A",0.9587
"Factor A",0.5358
"Factor A",0.6529
"Factor A",0.8354
"Factor A",0.8979
"Factor A",0.3672
"Factor A",0.5997
"Factor A",0.7814
"Factor A",0.5049
"Factor A",0.9734
"Factor A",0.5405
"Factor A",0.7058
"Factor A",0.3036
"Factor A",0.7505
"Factor A",0.0127
"Factor A",0.8412
"Factor A",0.1121
"Factor A",0.1031
"Factor A",0.5232
"Factor A",0.0133
"Factor A",0.3931
"Factor A",0.594
"Factor A",0.7327
"Factor A",0.0818
"Factor A",0.7892
"Factor A",0.7831
"Factor A",0.5747
"Factor A",0.1311
"Factor A",0.6899
"Factor A",0.8577
"Factor A",0.1687
"Factor A",0.6406
"Factor A",0.3289
"Factor A",0.8013
"Factor A",0.6145
"Factor A",0.281
"Factor A",0.9745
"Factor A",0.3797
"Factor A",0.992
"Factor A",0.0449000000000001
"Factor A",0.3151
"Factor A",0.2365
"Factor A",0.0572
"Factor A",0.7656
"Factor A",0.4965
"Factor A",0.756
"Factor A",0.5112
"Factor A",0.8745
"Factor A",0.1576
"Factor A",0.5192
"Factor A",0.2082
"Factor A",0.927
"Factor A",0.4998
"Factor A",0.7878
"Factor A",0.9884
"Factor A",0.907
"Factor A",0.8783
"Factor A",0.5892
"Factor A",0.8278
"Factor A",0.8723
"Factor A",0.2867
"Factor A",0.0982
"Factor A",0.2272
"Factor A",0.773
"Factor A",0.8098
"Factor A",0.3071
"Factor A",0.726
"Factor A",0.8954
"Factor A",0.652
"Factor A",0.755
"Factor A",0.4299
"Factor A",0.9957
"Factor A",0.8149
"Factor A",0.183
"Factor A",0.00119999999999998
"Factor A",0.6889
"Factor A",0.0275
"Factor A",0.7421
"Factor A",0.8644
"Factor A",0.6598
"Factor A",0.795
"Factor A",0.1168
"Factor A",0.7704
"Factor A",0.63
"Factor A",0.5477
"Factor A",0.9207
"Factor A",0.3302
"Factor A",0.7077
"Factor A",0.8935
"Factor A",0.5205
"Factor A",0.2851
"Factor A",0.0585
"Factor A",0.3364
"Factor A",0.0285
"Factor A",0.4734
"Factor A",0.9195
"Factor A",0.301
"Factor A",0.4795
"Factor A",0.2942
"Factor A",0.825
"Factor A",0.4452
"Factor A",0.8126
"Factor A",0.3989
"Factor A",0.5745
"Factor A",0.3271
"Factor A",0.9485
"Factor A",0.7771
"Factor A",0.6064
"Factor A",0.1078
"Factor A",0.4206
"Factor A",0.9033
"Factor A",0.9662
"Factor A",0.5288
"Factor A",0.3771
"Factor A",0.2834
"Factor A",0.9853
"Factor A",0.0455
"Factor A",0.8905
"Factor A",0.7701
"Factor A",0.6189
"Factor A",0.9235
"Factor A",0.6731
"Factor A",0.9656
"Factor A",0.3165
"Factor A",0.9868
"Factor A",0.8183
"Factor A",0.7193
"Factor A",0.1077
"Factor A",0.4657
"Factor A",0.7122
"Factor A",0.1869
"Factor A",0.6902
"Factor A",0.9721
"Factor A",0.701
"Factor A",0.9939
"Factor A",0.2174
"Factor A",0.8692
"Factor A",0.1145
"Factor A",0.3283
"Factor A",0.959
"Factor A",0.5551
"Factor A",0.9168
"Factor A",0.1204
"Factor A",0.1748
"Factor A",0.5344
"Factor A",0.1514
"Factor A",0.1119
"Factor A",0.0319
"Factor A",0.3636
"Factor A",0.3739
"Factor A",0.7595
"Factor A",0.3739
"Factor A",0.3439
"Factor A",0.7234
"Factor A",0.4116
"Factor A",0.00219999999999998
"Factor A",0.8514
"Factor A",0.88
"Factor A",0.843
"Factor A",0.6971
"Factor A",0.1303
"Factor A",0.2868
"Factor A",0.8231
"Factor A",0.5974
"Factor A",0.0447
"Factor A",0.1845
"Factor A",0.2784
"Factor A",0.7552
"Factor A",0.5385
"Factor A",0.0632
"Factor A",0.1192
"Factor A",0.6589
"Factor A",0.3966
"Factor A",0.0889
"Factor A",0.0846
"Factor A",0.2431
"Factor A",0.4475
"Factor A",0.9909
"Factor A",0.3042
"Factor A",0.5489
"Factor A",0.0595
"Factor A",0.4719
"Factor A",0.3148
"Factor A",0.029
"Factor A",0.5603
"Factor A",0.4758
"Factor A",0.2104
"Factor A",0.4556
"Factor A",0.4819
"Factor A",0.0904
"Factor A",0.3764
"Factor A",0.6309
"Factor A",0.262
"Factor A",0.9666
"Factor A",0.1482
"Factor A",0.464
"Factor A",0.1883
"Factor A",0.3206
"Factor A",0.7519
"Factor A",0.6781
"Factor A",0.1449
"Factor A",0.4953
"Factor A",0.1881
"Factor A",0.0101
"Factor A",0.3304
"Factor A",0.0201
"Factor A",0.6387
"Factor A",0.7962
"Factor A",0.0259
"Factor A",0.1147
"Factor A",0.5243
"Factor A",0.1037
"Factor A",0.5426
"Factor A",0.1262
"Factor A",0.999
"Factor A",0.4075
"Factor A",0.167
"Factor A",0.00890000000000002
"Factor A",0.0501
"Factor A",0.2328
"Factor A",0.5482
"Factor A",0.9875
"Factor A",0.2012
"Factor A",0.0117
"Factor A",0.3587
"Factor A",0.4541
"Factor A",0.1257
"Factor A",0.846
"Factor A",0.4663
"Factor A",0.6878
"Factor A",0.7378
"Factor A",0.0211
"Factor A",0.3622
"Factor A",0.3599
"Factor A",0.5125
"Factor A",0.915
"Factor A",0.4837
"Factor A",0.0516
"Factor A",0.6316
"Factor A",0.9126
"Factor A",0.6252
"Factor A",0.9592
"Factor A",0.3228
"Factor A",0.5931
"Factor A",0.6674
"Factor A",0.7035
"Factor A",0.2457
"Factor A",0.9693
"Factor A",0.4793
"Factor A",0.9656
"Factor A",0.8053
"Factor A",0.5223
"Factor A",0.3759
"Factor A",0.9093
"Factor A",0.6443
"Factor A",0.9144
"Factor A",0.0935
"Factor A",0.3183
"Factor A",0.4493
"Factor A",0.5729
"Factor A",0.0417
"Factor A",0.8958
"Factor A",0.0810999999999999
"Factor A",0.5008
"Factor A",0.0475
"Factor A",0.9835
"Factor A",0.4253
"Factor A",0.8218
"Factor A",0.3834
"Factor A",0.7999
"Factor A",0.2728
"Factor A",0.939
"Factor A",0.1783
"Factor A",0.4318
"Factor A",0.3061
"Factor A",0.1732
"Factor A",0.1003
"Factor A",0.4891
"Factor A",0.4206
"Factor A",0.1575
"Factor A",0.4596
"Factor A",0.6139
"Factor A",0.7243
"Factor A",0.4418
"Factor A",0.9597
"Factor A",0.8826
"Factor A",0.7732
"Factor A",0.658
"Factor A",0.8633
"Factor A",0.2713
"Factor A",0.3541
"Factor A",0.7007
"Factor A",0.9628
"Factor A",0.2376
"Factor A",0.605
"Factor A",0.8471
"Factor A",0.385
"Factor A",0.5045
"Factor A",0.6849
"Factor A",0.0386
"Factor A",0.2686
"Factor A",0.7145
"Factor A",0.2097
"Factor A",0.5246
"Factor A",0.9148
"Factor A",0.4377
"Factor A",0.3398
"Factor A",0.4341
"Factor A",0.1032
"Factor A",0.2445
